feature,chi2_score,p_value,selected,rank
thal,28.875535822132363,7.71816089582253e-08,True,1
ca,22.42193218237746,2.1886047952138612e-06,True,2
exang,19.762838838055483,8.767077171280164e-06,True,3
oldpeak,19.618034894728453,9.457227917674257e-06,True,4
thalach,18.478473795090807,1.71834194135104e-05,True,5
cp,18.198338175990404,1.9905244276786326e-05,True,6
slope,12.191029925685955,0.0004801986364164822,True,7
sex,8.11854839179682,0.004381462782510968,True,8
age,5.2744012186624385,0.02164122996657551,False,9
restecg,3.03323050805411,0.08157544778227752,False,10
trestbps,2.2269469643223294,0.13562159890529393,False,11
chol,1.143646654904029,0.28488308763100545,False,12
fbs,0.06762196538375297,0.7948311930248334,False,13
