feature,score,p_value,selected,rank
thal,112.77016327794941,1.3894261335845185e-22,True,1
ca,80.80060994387648,2.8324882940691154e-17,True,2
exang,69.02089079280229,3.3657743721069945e-15,True,3
oldpeak,68.40024715776636,4.348633569751064e-15,True,4
thalach,63.58769668512962,3.221260811856803e-14,True,5
cp,62.42377925237317,5.250734956675521e-14,True,6
slope,39.138194388488834,1.3537567141917033e-09,True,7
sex,24.978872025759728,9.851911089332177e-07,True,8
age,15.769637007270576,8.955636917524869e-05,False,9
restecg,8.871394425436053,0.0031324013864188626,False,10
trestbps,6.462598176139088,0.011517930332666263,False,11
chol,3.2845566892694533,0.07093079022833806,False,12
fbs,0.19223680928224887,0.6613759374817101,False,13
